Umur,Jenis Kelamin,Wilayah,Tanggapan,cleaned_text,topic_id,topic_category,kategori_akhir
8 sampai 11 tahun,Perempuan,Sibolga Utara,Kulihat rumah dibawa air yang deras,kulihat rumah dibawa air yang deras,3,Deskripsi Umum Kondisi Banjir,Trauma Suara & Penyelamatan Diri
8 sampai 11 tahun,Perempuan,Sibolga Utara,Kulihat pohon yang besar dibawa air juga,kulihat pohon yang besar dibawa air juga,3,Deskripsi Umum Kondisi Banjir,Trauma Suara & Penyelamatan Diri
8 sampai 11 tahun,Perempuan,Sibolga Utara,"Sebelumnya rumah masih kokoh berdiri, lalu setelah banjir rumah bergeser karena air dan tanah, lalu roboh",sebelumnya rumah masih kokoh berdiri lalu setelah banjir rumah bergeser karena air dan tanah lalu roboh,3,Deskripsi Umum Kondisi Banjir,Kerusakan Lingkungan & Properti
8 sampai 11 tahun,Perempuan,Sibolga Utara,Banyak bebatuan yang dating,banyak bebatuan yang dating,1,Kerusakan Infrastruktur (Garoga),
8 sampai 11 tahun,Perempuan,Sibolga Utara,Kondisi air dan sungai berubah,kondisi air dan sungai berubah,3,Deskripsi Umum Kondisi Banjir,Trauma Suara & Penyelamatan Diri
8 sampai 11 tahun,Perempuan,Sibolga Utara,Rumah hancur,rumah hancur,1,Kerusakan Infrastruktur (Garoga),
8 sampai 11 tahun,Perempuan,Sibolga Utara,"Kayu, batu, sampah, sungai hancur, pasir, dan longsor",kayu batu sampah sungai hancur pasir dan longsor,3,Deskripsi Umum Kondisi Banjir,Trauma Suara & Penyelamatan Diri
8 sampai 11 tahun,Perempuan,Sibolga Utara,Banyak orang terluka,banyak orang terluka,1,Kerusakan Infrastruktur (Garoga),
8 sampai 11 tahun,Perempuan,Sibolga Utara,"Sebelum bencana banjir kondisinya indah, banyak tanaman, bunga-bunga, lalu setelah banjir banyak kayu, batu, rumah hancur dan tidak indah lagi",sebelum bencana banjir kondisinya indah banyak tanaman bungabunga lalu setelah banjir banyak kayu batu rumah hancur dan tidak indah lagi,3,Deskripsi Umum Kondisi Banjir,Kerusakan Lingkungan & Properti
8 sampai 11 tahun,Perempuan,Sibolga Utara,Suara hujan,suara hujan,1,Kerusakan Infrastruktur (Garoga),
8 sampai 11 tahun,Perempuan,Sibolga Utara,Suara petir,suara petir,1,Kerusakan Infrastruktur (Garoga),
8 sampai 11 tahun,Perempuan,Sibolga Utara,Suara air,suara air,1,Kerusakan Infrastruktur (Garoga),
8 sampai 11 tahun,Perempuan,Sibolga Utara,Suara angin,suara angin,1,Kerusakan Infrastruktur (Garoga),
8 sampai 11 tahun,Perempuan,Sibolga Utara,Suara batu,suara batu,1,Kerusakan Infrastruktur (Garoga),
8 sampai 11 tahun,Perempuan,Sibolga Utara,Saya mendengar suara hujan deras,saya mendengar suara hujan deras,3,Deskripsi Umum Kondisi Banjir,Trauma Suara & Penyelamatan Diri
8 sampai 11 tahun,Perempuan,Sibolga Utara,Saya mendengar suara air deras,saya mendengar suara air deras,3,Deskripsi Umum Kondisi Banjir,Trauma Suara & Penyelamatan Diri
8 sampai 11 tahun,Perempuan,Sibolga Utara,Saya mendengar suara banjir menghancurkan rumah,saya mendengar suara banjir menghancurkan rumah,3,Deskripsi Umum Kondisi Banjir,Trauma Suara & Penyelamatan Diri
8 sampai 11 tahun,Perempuan,Sibolga Utara,Saya mendengar suara rumah roboh dan hanyut dibawa air,saya mendengar suara rumah roboh dan hanyut dibawa air,3,Deskripsi Umum Kondisi Banjir,Kerusakan Lingkungan & Properti
8 sampai 11 tahun,Perempuan,Sibolga Utara,Suara kayu,suara kayu,1,Kerusakan Infrastruktur (Garoga),
8 sampai 11 tahun,Perempuan,Sibolga Utara,Suara air,suara air,1,Kerusakan Infrastruktur (Garoga),
8 sampai 11 tahun,Perempuan,Sibolga Utara,"Aku bertemu sama teman-teman, aku bercerita tentang banjir",aku bertemu sama temanteman aku bercerita tentang banjir,3,Deskripsi Umum Kondisi Banjir,Dampak Aktivitas Harian & Sekolah
8 sampai 11 tahun,Perempuan,Sibolga Utara,Aku minum air putih,aku minum air putih,5,Kebutuhan Logistik & Konsumsi,
8 sampai 11 tahun,Perempuan,Sibolga Utara,Aku makan nasi dan supermi,aku makan nasi dan supermi,5,Kebutuhan Logistik & Konsumsi,
8 sampai 11 tahun,Perempuan,Sibolga Utara,"Cerita dengan teman, saudara, orangrua, dan keluarga lain",cerita dengan teman saudara orangrua dan keluarga lain,3,Deskripsi Umum Kondisi Banjir,Trauma Suara & Penyelamatan Diri
8 sampai 11 tahun,Perempuan,Sibolga Utara,"Makan mie, telur, kerupuk, dan air",makan mie telur kerupuk dan air,5,Kebutuhan Logistik & Konsumsi,
8 sampai 11 tahun,Perempuan,Sibolga Utara,Ingin bertemu teman dan menceritakan sama teman,ingin bertemu teman dan menceritakan sama teman,3,Deskripsi Umum Kondisi Banjir,Trauma Suara & Penyelamatan Diri
8 sampai 11 tahun,Perempuan,Sibolga Utara,Ingin bertemu nenek dan orangtua untuk bercerita,ingin bertemu nenek dan orangtua untuk bercerita,3,Deskripsi Umum Kondisi Banjir,Trauma Suara & Penyelamatan Diri
8 sampai 11 tahun,Perempuan,Sibolga Utara,Saya merasa tidak nyaman makan ikan lele,saya merasa tidak nyaman makan ikan lele,0,Keluhan Kesehatan Fisik,
8 sampai 11 tahun,Perempuan,Sibolga Utara,Saya merasa tidak nyaman minum air putih,saya merasa tidak nyaman minum air putih,0,Keluhan Kesehatan Fisik,
8 sampai 11 tahun,Perempuan,Sibolga Utara,Makan supermi,makan supermi,5,Kebutuhan Logistik & Konsumsi,
8 sampai 11 tahun,Perempuan,Sibolga Utara,Cerita ke teman,cerita ke teman,5,Kebutuhan Logistik & Konsumsi,
8 sampai 11 tahun,Perempuan,Sibolga Utara,Makan mie dan merasa takut sakit perut,makan mie dan merasa takut sakit perut,0,Keluhan Kesehatan Fisik,
8 sampai 11 tahun,Perempuan,Sibolga Utara,Minum air putih,minum air putih,5,Kebutuhan Logistik & Konsumsi,
8 sampai 11 tahun,Perempuan,Sibolga Utara,Sakit bahuku,sakit bahuku,2,Dampak Psikososial & Trauma,
8 sampai 11 tahun,Perempuan,Sibolga Utara,Kali lari sakit kali bahuku,kali lari sakit kali bahuku,2,Dampak Psikososial & Trauma,
8 sampai 11 tahun,Perempuan,Sibolga Utara,Capek,capek,4,Kesehatan & Kecemasan Harian,
8 sampai 11 tahun,Perempuan,Sibolga Utara,Sakit,sakit,4,Kesehatan & Kecemasan Harian,
8 sampai 11 tahun,Perempuan,Sibolga Utara,Keringat,keringat,4,Kesehatan & Kecemasan Harian,
8 sampai 11 tahun,Perempuan,Sibolga Utara,Pegal,pegal,4,Kesehatan & Kecemasan Harian,
8 sampai 11 tahun,Perempuan,Sibolga Utara,Gatal-gatal,gatalgatal,4,Kesehatan & Kecemasan Harian,
8 sampai 11 tahun,Perempuan,Sibolga Utara,Pegal,pegal,4,Kesehatan & Kecemasan Harian,
8 sampai 11 tahun,Perempuan,Sibolga Utara,Sakit,sakit,4,Kesehatan & Kecemasan Harian,
8 sampai 11 tahun,Perempuan,Sibolga Utara,Kecapean,kecapean,4,Kesehatan & Kecemasan Harian,
8 sampai 11 tahun,Perempuan,Sibolga Utara,Sakit pegal,sakit pegal,2,Dampak Psikososial & Trauma,
8 sampai 11 tahun,Perempuan,Sibolga Utara,"Merasa sedih, takut, khawatir, tidak senang hancur",merasa sedih takut khawatir tidak senang hancur,0,Keluhan Kesehatan Fisik,
8 sampai 11 tahun,Perempuan,Sibolga Utara,Saya merasa hancur karena rumah tidak berdiri kokoh,saya merasa hancur karena rumah tidak berdiri kokoh,3,Deskripsi Umum Kondisi Banjir,Kerusakan Lingkungan & Properti
8 sampai 11 tahun,Perempuan,Sibolga Utara,"Saya merasa tidak nyaman kalau datang hujan, petir, badai",saya merasa tidak nyaman kalau datang hujan petir badai,0,Keluhan Kesehatan Fisik,
8 sampai 11 tahun,Perempuan,Sibolga Utara,Sedih karena rumah teman hancur,sedih karena rumah teman hancur,3,Deskripsi Umum Kondisi Banjir,Trauma Suara & Penyelamatan Diri
8 sampai 11 tahun,Perempuan,Sibolga Utara,Sakit hati karena rumah guruku hancur,sakit hati karena rumah guruku hancur,3,Deskripsi Umum Kondisi Banjir,Trauma Suara & Penyelamatan Diri
8 sampai 11 tahun,Perempuan,Sibolga Utara,Aku tidak senang karena rumah tetangga hancur,aku tidak senang karena rumah tetangga hancur,3,Deskripsi Umum Kondisi Banjir,Trauma Suara & Penyelamatan Diri
8 sampai 11 tahun,Perempuan,Sibolga Utara,"Sedih, takut, khawatir, tidak senang",sedih takut khawatir tidak senang,2,Dampak Psikososial & Trauma,
8 sampai 11 tahun,Perempuan,Sibolga Utara,Sakit perut,sakit perut,2,Dampak Psikososial & Trauma,
8 sampai 11 tahun,Perempuan,Sibolga Utara,Sakit pinggang,sakit pinggang,2,Dampak Psikososial & Trauma,
8 sampai 11 tahun,Perempuan,Sibolga Utara,Ingin tidur karena pinggang sakit,ingin tidur karena pinggang sakit,0,Keluhan Kesehatan Fisik,
8 sampai 11 tahun,Perempuan,Sibolga Utara,Sakit perut karena berlari,sakit perut karena berlari,2,Dampak Psikososial & Trauma,
8 sampai 11 tahun,Perempuan,Sibolga Utara,Sakit perut karena tidak makan pagi,sakit perut karena tidak makan pagi,0,Keluhan Kesehatan Fisik,
8 sampai 11 tahun,Perempuan,Sibolga Utara,"Sakit pegal, capek",sakit pegal capek,2,Dampak Psikososial & Trauma,
8 sampai 11 tahun,Perempuan,Sibolga Utara,"Pinggang sakit, pegal",pinggang sakit pegal,2,Dampak Psikososial & Trauma,
8 sampai 11 tahun,Perempuan,Sibolga Utara,Gatal,gatal,4,Kesehatan & Kecemasan Harian,
8 sampai 11 tahun,Perempuan,Sibolga Utara,Pinggang terasa sakitt karena pegal,pinggang terasa sakitt karena pegal,0,Keluhan Kesehatan Fisik,
8 sampai 11 tahun,Perempuan,Sibolga Utara,Main HP,main hp,5,Kebutuhan Logistik & Konsumsi,
8 sampai 11 tahun,Perempuan,Sibolga Utara,Makan,makan,4,Kesehatan & Kecemasan Harian,
8 sampai 11 tahun,Perempuan,Sibolga Utara,Minum,minum,4,Kesehatan & Kecemasan Harian,
8 sampai 11 tahun,Perempuan,Sibolga Utara,Bersih-bersih rumah,bersihbersih rumah,5,Kebutuhan Logistik & Konsumsi,
8 sampai 11 tahun,Perempuan,Sibolga Utara,Cebok,cebok,4,Kesehatan & Kecemasan Harian,
8 sampai 11 tahun,Perempuan,Sibolga Utara,"Belajar/menulis, dll",belajarmenulis dll,5,Kebutuhan Logistik & Konsumsi,
8 sampai 11 tahun,Perempuan,Sibolga Utara,Makan,makan,4,Kesehatan & Kecemasan Harian,
8 sampai 11 tahun,Perempuan,Sibolga Utara,Belajar,belajar,4,Kesehatan & Kecemasan Harian,
8 sampai 11 tahun,Perempuan,Sibolga Utara,Main game,main game,5,Kebutuhan Logistik & Konsumsi,
8 sampai 11 tahun,Perempuan,Sibolga Utara,Main bola,main bola,5,Kebutuhan Logistik & Konsumsi,
8 sampai 11 tahun,Perempuan,Sibolga Utara,Minum,minum,4,Kesehatan & Kecemasan Harian,
8 sampai 11 tahun,Perempuan,Sibolga Utara,Makan,makan,4,Kesehatan & Kecemasan Harian,
8 sampai 11 tahun,Perempuan,Sibolga Utara,Cuci piring,cuci piring,5,Kebutuhan Logistik & Konsumsi,
8 sampai 11 tahun,Perempuan,Sibolga Utara,Angkat air,angkat air,5,Kebutuhan Logistik & Konsumsi,
8 sampai 11 tahun,Perempuan,Sibolga Utara,Mandi,mandi,4,Kesehatan & Kecemasan Harian,
8 sampai 11 tahun,Perempuan,Sibolga Utara,Makan,makan,4,Kesehatan & Kecemasan Harian,
8 sampai 11 tahun,Perempuan,Sibolga Utara,Makan,makan,4,Kesehatan & Kecemasan Harian,
8 sampai 11 tahun,Perempuan,Sibolga Utara,Menolong,menolong,4,Kesehatan & Kecemasan Harian,
8 sampai 11 tahun,Perempuan,Sibolga Utara,Belajar,belajar,4,Kesehatan & Kecemasan Harian,
8 sampai 11 tahun,Perempuan,Sibolga Utara,Membersihkan rumah,membersihkan rumah,5,Kebutuhan Logistik & Konsumsi,
8 sampai 11 tahun,Perempuan,Sibolga Utara,"Untuk lari-lari, jalan, membantu orang, untuk merasakan sakit",untuk larilari jalan membantu orang untuk merasakan sakit,0,Keluhan Kesehatan Fisik,
8 sampai 11 tahun,Perempuan,Sibolga Utara,"Main-main, menendang, memijak, berjalan, dance",mainmain menendang memijak berjalan dance,2,Dampak Psikososial & Trauma,
8 sampai 11 tahun,Perempuan,Sibolga Utara,"Kakiku terasa sakit, untuk lari, untuk main-main",kakiku terasa sakit untuk lari untuk mainmain,0,Keluhan Kesehatan Fisik,
8 sampai 11 tahun,Perempuan,Sibolga Utara,"Lari, main-main, jalan",lari mainmain jalan,5,Kebutuhan Logistik & Konsumsi,
8 sampai 11 tahun,Laki laki,Sibolga Utara,Takut lalu kami lari ke hutan lalu tidur di kuburan,takut lalu kami lari ke hutan lalu tidur di kuburan,3,Deskripsi Umum Kondisi Banjir,Trauma Suara & Penyelamatan Diri
8 sampai 11 tahun,Laki laki,Sibolga Utara,"Saya takut saat banjir dating aku nangis ketakutan, dan aku lari bersama teman dan keluarga. Sebelumnya hujan deras, olehkarena itu saya tidak sekolah",saya takut saat banjir dating aku nangis ketakutan dan aku lari bersama teman dan keluarga sebelumnya hujan deras olehkarena itu saya tidak sekolah,3,Deskripsi Umum Kondisi Banjir,Kerusakan Lingkungan & Properti
8 sampai 11 tahun,Laki laki,Sibolga Utara,"Aku lari ketempat aman, aku tidak ke sekolah, aku lari ke zona aman",aku lari ketempat aman aku tidak ke sekolah aku lari ke zona aman,3,Deskripsi Umum Kondisi Banjir,Dampak Aktivitas Harian & Sekolah
8 sampai 11 tahun,Laki laki,Sibolga Utara,"Takut, sedih, cemas",takut sedih cemas,2,Dampak Psikososial & Trauma,
8 sampai 11 tahun,Laki laki,Sibolga Utara,Saya takut air  deras karena saya takut ayah saya di laut ketakutan dan saya berlari kencang dan selamat,saya takut air deras karena saya takut ayah saya di laut ketakutan dan saya berlari kencang dan selamat,3,Deskripsi Umum Kondisi Banjir,Kerusakan Lingkungan & Properti
8 sampai 11 tahun,Laki laki,Sibolga Utara,"Melihat kayu, batu, pasir, dan tanah",melihat kayu batu pasir dan tanah,3,Deskripsi Umum Kondisi Banjir,Trauma Suara & Penyelamatan Diri
8 sampai 11 tahun,Laki laki,Sibolga Utara,"Aku melihat banjir dan melihat kayu tumbang, lalu air besar sekali, dan pohon tumbang",aku melihat banjir dan melihat kayu tumbang lalu air besar sekali dan pohon tumbang,3,Deskripsi Umum Kondisi Banjir,Kerusakan Lingkungan & Properti
8 sampai 11 tahun,Laki laki,Sibolga Utara,"Kayu tumbang batu bersuara, dan gelap gulita",kayu tumbang batu bersuara dan gelap gulita,3,Deskripsi Umum Kondisi Banjir,Trauma Suara & Penyelamatan Diri
8 sampai 11 tahun,Laki laki,Sibolga Utara,"Waktu sudah kejadian aku melihat ada yang berbeda seperti rumah yang ada, sudah tidak ada dan jalan rusak, sungai semakin rendah dan jorok",waktu sudah kejadian aku melihat ada yang berbeda seperti rumah yang ada sudah tidak ada dan jalan rusak sungai semakin rendah dan jorok,3,Deskripsi Umum Kondisi Banjir,Kerusakan Lingkungan & Properti
8 sampai 11 tahun,Laki laki,Sibolga Utara,Air besar dan berwarna batu hilang dan suasana buruk dan pemandangan aneh dan mengerikan sampai hancur rumah dan pohon tumbang manusia terderet di air besar dan dasyat.,air besar dan berwarna batu hilang dan suasana buruk dan pemandangan aneh dan mengerikan sampai hancur rumah dan pohon tumbang manusia terderet di air besar dan dasyat,3,Deskripsi Umum Kondisi Banjir,Kerusakan Lingkungan & Properti
8 sampai 11 tahun,Laki laki,Sibolga Utara,"Suara yang membuat saya takut adalah suara hujan deras, angin kencang, suara air sungai yang membesar dan suara petir",suara yang membuat saya takut adalah suara hujan deras angin kencang suara air sungai yang membesar dan suara petir,3,Deskripsi Umum Kondisi Banjir,Kerusakan Lingkungan & Properti
8 sampai 11 tahun,Laki laki,Sibolga Utara,"Suara batu, petir dan banjir",suara batu petir dan banjir,3,Deskripsi Umum Kondisi Banjir,Trauma Suara & Penyelamatan Diri
8 sampai 11 tahun,Laki laki,Sibolga Utara,"Suara batu, suara petir, dan suara angin",suara batu suara petir dan suara angin,3,Deskripsi Umum Kondisi Banjir,Trauma Suara & Penyelamatan Diri
8 sampai 11 tahun,Laki laki,Sibolga Utara,"Saya mendengar hujan deras, suara batu, dan petir banjir air besar dan air mengerikan",saya mendengar hujan deras suara batu dan petir banjir air besar dan air mengerikan,3,Deskripsi Umum Kondisi Banjir,Kerusakan Lingkungan & Properti
8 sampai 11 tahun,Laki laki,Sibolga Utara,"Suara batu, hujan, petir dan angin kencang",suara batu hujan petir dan angin kencang,3,Deskripsi Umum Kondisi Banjir,Trauma Suara & Penyelamatan Diri
8 sampai 11 tahun,Laki laki,Sibolga Utara,Aku mendengar hujan dan kayu pertumbangan aku ketakutan,aku mendengar hujan dan kayu pertumbangan aku ketakutan,3,Deskripsi Umum Kondisi Banjir,Trauma Suara & Penyelamatan Diri
8 sampai 11 tahun,Laki laki,Sibolga Utara,"Bertemu dengan Tuhan dan makan ayam, ikan sambal kecap dan kerupuk",bertemu dengan tuhan dan makan ayam ikan sambal kecap dan kerupuk,3,Deskripsi Umum Kondisi Banjir,Trauma Suara & Penyelamatan Diri
8 sampai 11 tahun,Laki laki,Sibolga Utara,Mama,mama,4,Kesehatan & Kecemasan Harian,
8 sampai 11 tahun,Laki laki,Sibolga Utara,Aku ketemu kawanku dan makan indomie kesukaanku,aku ketemu kawanku dan makan indomie kesukaanku,3,Deskripsi Umum Kondisi Banjir,Dampak Aktivitas Harian & Sekolah
8 sampai 11 tahun,Laki laki,Sibolga Utara,"Saya pernah makan nasi goreng, air putih da saya pernah cerita tentang saya Tuhan di dalam hati dengan keluarga",saya pernah makan nasi goreng air putih da saya pernah cerita tentang saya tuhan di dalam hati dengan keluarga,3,Deskripsi Umum Kondisi Banjir,Dampak Aktivitas Harian & Sekolah
8 sampai 11 tahun,Laki laki,Sibolga Utara,"Kakak ( Cerita Banjir), makan roti dan nasi",kakak cerita banjir makan roti dan nasi,3,Deskripsi Umum Kondisi Banjir,Trauma Suara & Penyelamatan Diri
8 sampai 11 tahun,Laki laki,Sibolga Utara,Saya berdoa kepada Tuhan agar kami di selamatkan dari Bencana pada saat itu kami makan mie dan aku ingin bertemu dengan teman,saya berdoa kepada tuhan agar kami di selamatkan dari bencana pada saat itu kami makan mie dan aku ingin bertemu dengan teman,3,Deskripsi Umum Kondisi Banjir,Dampak Aktivitas Harian & Sekolah
8 sampai 11 tahun,Laki laki,Sibolga Utara,Bahu saya sakit karena air besar dan saya pun merasa kesakitan seperti patah pinggang,bahu saya sakit karena air besar dan saya pun merasa kesakitan seperti patah pinggang,0,Keluhan Kesehatan Fisik,
8 sampai 11 tahun,Laki laki,Sibolga Utara,Sakit dan pegal,sakit dan pegal,2,Dampak Psikososial & Trauma,
8 sampai 11 tahun,Laki laki,Sibolga Utara,"Bahu saya terjadi sakit, lemas dan pegal",bahu saya terjadi sakit lemas dan pegal,0,Keluhan Kesehatan Fisik,
8 sampai 11 tahun,Laki laki,Sibolga Utara,Kesakitan karena tertimpa longsor,kesakitan karena tertimpa longsor,2,Dampak Psikososial & Trauma,
8 sampai 11 tahun,Laki laki,Sibolga Utara,Sakit hampir kenak kayu dan pegal,sakit hampir kenak kayu dan pegal,0,Keluhan Kesehatan Fisik,
8 sampai 11 tahun,Laki laki,Sibolga Utara,Dingin sakit bahu ingin di kusuk,dingin sakit bahu ingin di kusuk,0,Keluhan Kesehatan Fisik,
8 sampai 11 tahun,Laki laki,Sibolga Utara,Hati saya sedh dan hancur hati dan marah sedikit,hati saya sedh dan hancur hati dan marah sedikit,0,Keluhan Kesehatan Fisik,
8 sampai 11 tahun,Laki laki,Sibolga Utara,"Takit, sedih, dan tidak senang",takit sedih dan tidak senang,2,Dampak Psikososial & Trauma,
8 sampai 11 tahun,Laki laki,Sibolga Utara,Aku sedih mendengar rumah kawanku hancur,aku sedih mendengar rumah kawanku hancur,3,Deskripsi Umum Kondisi Banjir,Trauma Suara & Penyelamatan Diri
8 sampai 11 tahun,Laki laki,Sibolga Utara,Sakit ingin mati dan ingin melihat rumah tapi tidak bisa,sakit ingin mati dan ingin melihat rumah tapi tidak bisa,3,Deskripsi Umum Kondisi Banjir,Trauma Suara & Penyelamatan Diri
8 sampai 11 tahun,Laki laki,Sibolga Utara,"Sedih, tidak senang dan takut",sedih tidak senang dan takut,2,Dampak Psikososial & Trauma,
8 sampai 11 tahun,Laki laki,Sibolga Utara,Sesudah bencana hati saya merasa sedh dan takut saya sedih melihat rumah dan jalan hancur,sesudah bencana hati saya merasa sedh dan takut saya sedih melihat rumah dan jalan hancur,3,Deskripsi Umum Kondisi Banjir,Kerusakan Lingkungan & Properti
8 sampai 11 tahun,Laki laki,Sibolga Utara,Saya merasa pinggang saya sakit dan pegal dan perut saya terasa lapar dan sakit,saya merasa pinggang saya sakit dan pegal dan perut saya terasa lapar dan sakit,0,Keluhan Kesehatan Fisik,
8 sampai 11 tahun,Laki laki,Sibolga Utara,"Pinggang hampir patah, perut sakit ingin buang air besar tapi tidak bisa",pinggang hampir patah perut sakit ingin buang air besar tapi tidak bisa,0,Keluhan Kesehatan Fisik,
8 sampai 11 tahun,Laki laki,Sibolga Utara,Sakit perut,sakit perut,2,Dampak Psikososial & Trauma,
8 sampai 11 tahun,Laki laki,Sibolga Utara,"Pinggangku sakit, perutku kesakitan dan aku menangis",pinggangku sakit perutku kesakitan dan aku menangis,0,Keluhan Kesehatan Fisik,
8 sampai 11 tahun,Laki laki,Sibolga Utara,Saya sakit perut karena saya buang air besar,saya sakit perut karena saya buang air besar,0,Keluhan Kesehatan Fisik,
8 sampai 11 tahun,Laki laki,Sibolga Utara,Tangan kesakitan sekali,tangan kesakitan sekali,2,Dampak Psikososial & Trauma,
8 sampai 11 tahun,Laki laki,Sibolga Utara,Baru kesakitan dan tidak bisa bergerak,baru kesakitan dan tidak bisa bergerak,0,Keluhan Kesehatan Fisik,
8 sampai 11 tahun,Laki laki,Sibolga Utara,Sakit dan kedinginan,sakit dan kedinginan,2,Dampak Psikososial & Trauma,
8 sampai 11 tahun,Laki laki,Sibolga Utara,"Tangan saya untuk makan, mandi, main game, dan disuruh oleh mama dan bapak",tangan saya untuk makan mandi main game dan disuruh oleh mama dan bapak,3,Deskripsi Umum Kondisi Banjir,Dampak Aktivitas Harian & Sekolah
8 sampai 11 tahun,Laki laki,Sibolga Utara,"Makan, mandi, main game, dan cebok",makan mandi main game dan cebok,3,Deskripsi Umum Kondisi Banjir,Trauma Suara & Penyelamatan Diri
8 sampai 11 tahun,Laki laki,Sibolga Utara,"Buat makan, minum es, dan mengambil sesuatu",buat makan minum es dan mengambil sesuatu,3,Deskripsi Umum Kondisi Banjir,Trauma Suara & Penyelamatan Diri
8 sampai 11 tahun,Laki laki,Sibolga Utara,Angkat air dan main,angkat air dan main,5,Kebutuhan Logistik & Konsumsi,
8 sampai 11 tahun,Laki laki,Sibolga Utara,Kakiku kesakitan maling barang,kakiku kesakitan maling barang,2,Dampak Psikososial & Trauma,
8 sampai 11 tahun,Laki laki,Sibolga Utara,Lari terinjak paku,lari terinjak paku,2,Dampak Psikososial & Trauma,
8 sampai 11 tahun,Laki laki,Sibolga Utara,Untuk jalan-jalan,untuk jalanjalan,4,Kesehatan & Kecemasan Harian,
8 sampai 11 tahun,Laki laki,Sibolga Utara,Untuk menendang bola dan jalan kemana-mana,untuk menendang bola dan jalan kemanamana,0,Keluhan Kesehatan Fisik,
8 sampai 11 tahun,Laki laki,Sibolga Utara,Kaki saya sakit karena kecapean dan saya istirahat dengan kaki saya,kaki saya sakit karena kecapean dan saya istirahat dengan kaki saya,0,Keluhan Kesehatan Fisik,
8 sampai 11 tahun,Laki laki,Sibolga Utara,Lari,lari,4,Kesehatan & Kecemasan Harian,
12 sampai 15 tahun,Perempuan,Sibolga Utara,Takut,takut,4,Kesehatan & Kecemasan Harian,
12 sampai 15 tahun,Perempuan,Sibolga Utara,Sedih,sedih,4,Kesehatan & Kecemasan Harian,
12 sampai 15 tahun,Perempuan,Sibolga Utara,Cemas,cemas,4,Kesehatan & Kecemasan Harian,
12 sampai 15 tahun,Perempuan,Sibolga Utara,Nangis,nangis,4,Kesehatan & Kecemasan Harian,
12 sampai 15 tahun,Perempuan,Sibolga Utara,"Saya merasakan takut, sedih, cemas",saya merasakan takut sedih cemas,0,Keluhan Kesehatan Fisik,
12 sampai 15 tahun,Perempuan,Sibolga Utara,"Saat dating banjir atau longsor di pikiran saya merasa takut, cemas, dan lain-lainnya",saat dating banjir atau longsor di pikiran saya merasa takut cemas dan lainlainnya,3,Deskripsi Umum Kondisi Banjir,Kerusakan Lingkungan & Properti
12 sampai 15 tahun,Perempuan,Sibolga Utara,Takut dan pusing memikirkan rumah rusak,takut dan pusing memikirkan rumah rusak,3,Deskripsi Umum Kondisi Banjir,Trauma Suara & Penyelamatan Diri
12 sampai 15 tahun,Perempuan,Sibolga Utara,"Takut longsor, takut air besar, takut kehilangan orang tua",takut longsor takut air besar takut kehilangan orang tua,3,Deskripsi Umum Kondisi Banjir,Trauma Suara & Penyelamatan Diri
12 sampai 15 tahun,Perempuan,Sibolga Utara,Rumah roboh,rumah roboh,1,Kerusakan Infrastruktur (Garoga),
12 sampai 15 tahun,Perempuan,Sibolga Utara,Kayu,kayu,1,Kerusakan Infrastruktur (Garoga),
